district,year,elderly_pop,total_recipients,elderly_recipients,elderly_recipient_ratio
종로구,2024,28042.0,5605,2764,9.86
중구,2024,25412.0,6331,3428,13.49
용산구,2024,36977.0,8744,3848,10.41
성동구,2024,49723.0,10497,5067,10.19
광진구,2024,58219.0,14697,5576,9.58
동대문구,2024,67294.0,16762,8191,12.17
중랑구,2024,79723.0,29794,12417,15.58
성북구,2024,80350.0,18130,7978,9.93
강북구,2024,68487.0,25010,11514,16.81
도봉구,2024,71522.0,17914,7441,10.4
노원구,2024,96699.0,32542,15516,16.05
은평구,2024,94684.0,26401,11597,12.25
서대문구,2024,57956.0,12272,5751,9.92
마포구,2024,57192.0,11969,5689,9.95
양천구,2024,77388.0,19469,8731,11.28
강서구,2024,103650.0,33690,16281,15.71
구로구,2024,86375.0,16352,7341,8.5
금천구,2024,48927.0,14460,6357,12.99
영등포구,2024,73143.0,12276,6099,8.34
동작구,2024,71592.0,13324,6302,8.8
관악구,2024,87499.0,25204,10650,12.17
서초구,2024,65687.0,8046,3466,5.28
강남구,2024,87679.0,16396,7562,8.62
송파구,2024,109383.0,19449,7926,7.25
강동구,2024,85323.0,18953,8236,9.65
종로구,2024,12434.0,5605,2764,22.23
중구,2024,11046.0,6331,3428,31.03
용산구,2024,16162.0,8744,3848,23.81
성동구,2024,21875.0,10497,5067,23.16
광진구,2024,26011.0,14697,5576,21.44
동대문구,2024,29841.0,16762,8191,27.45
중랑구,2024,35689.0,29794,12417,34.79
성북구,2024,34668.0,18130,7978,23.01
강북구,2024,29434.0,25010,11514,39.12
도봉구,2024,31753.0,17914,7441,23.43
노원구,2024,41113.0,32542,15516,37.74
은평구,2024,40771.0,26401,11597,28.44
서대문구,2024,24721.0,12272,5751,23.26
마포구,2024,24093.0,11969,5689,23.61
양천구,2024,34781.0,19469,8731,25.1
강서구,2024,45594.0,33690,16281,35.71
구로구,2024,39001.0,16352,7341,18.82
금천구,2024,22262.0,14460,6357,28.56
영등포구,2024,32952.0,12276,6099,18.51
동작구,2024,31243.0,13324,6302,20.17
관악구,2024,38599.0,25204,10650,27.59
서초구,2024,29711.0,8046,3466,11.67
강남구,2024,39393.0,16396,7562,19.2
송파구,2024,50309.0,19449,7926,15.75
강동구,2024,38800.0,18953,8236,21.23
종로구,2024,15608.0,5605,2764,17.71
중구,2024,14366.0,6331,3428,23.86
용산구,2024,20815.0,8744,3848,18.49
성동구,2024,27848.0,10497,5067,18.2
광진구,2024,32208.0,14697,5576,17.31
동대문구,2024,37453.0,16762,8191,21.87
중랑구,2024,44034.0,29794,12417,28.2
성북구,2024,45682.0,18130,7978,17.46
강북구,2024,39053.0,25010,11514,29.48
도봉구,2024,39769.0,17914,7441,18.71
노원구,2024,55586.0,32542,15516,27.91
은평구,2024,53913.0,26401,11597,21.51
서대문구,2024,33235.0,12272,5751,17.3
마포구,2024,33099.0,11969,5689,17.19
양천구,2024,42607.0,19469,8731,20.49
강서구,2024,58056.0,33690,16281,28.04
구로구,2024,47374.0,16352,7341,15.5
금천구,2024,26665.0,14460,6357,23.84
영등포구,2024,40191.0,12276,6099,15.18
동작구,2024,40349.0,13324,6302,15.62
관악구,2024,48900.0,25204,10650,21.78
서초구,2024,35976.0,8046,3466,9.63
강남구,2024,48286.0,16396,7562,15.66
송파구,2024,59074.0,19449,7926,13.42
강동구,2024,46523.0,18953,8236,17.7
