date,station,mean_temp,min_temp,max_temp,heatwave,year,month
2023-06-01,108,22.8,19.7,26.3,0,2023,6
2023-06-02,108,20.4,17.9,25.0,0,2023,6
2023-06-03,108,22.0,16.6,27.8,0,2023,6
2023-06-04,108,22.1,16.9,28.0,0,2023,6
2023-06-05,108,21.5,17.6,26.3,0,2023,6
2023-06-06,108,20.3,17.3,25.2,0,2023,6
2023-06-07,108,21.4,18.9,25.7,0,2023,6
2023-06-08,108,20.4,18.3,23.9,0,2023,6
2023-06-09,108,23.3,18.3,28.4,0,2023,6
2023-06-10,108,23.2,19.6,28.5,0,2023,6
2023-06-11,108,22.1,17.9,27.3,0,2023,6
2023-06-12,108,22.2,18.4,27.5,0,2023,6
2023-06-13,108,22.0,19.2,26.0,0,2023,6
2023-06-14,108,20.6,17.5,25.0,0,2023,6
2023-06-15,108,22.7,17.7,28.3,0,2023,6
2023-06-16,108,23.7,19.1,28.9,0,2023,6
2023-06-17,108,24.2,18.9,30.2,1,2023,6
2023-06-18,108,25.9,20.8,32.6,1,2023,6
2023-06-19,108,28.5,23.3,34.0,1,2023,6
2023-06-20,108,24.7,21.4,26.4,0,2023,6
2023-06-21,108,20.5,19.2,22.1,0,2023,6
2023-06-22,108,22.5,18.9,26.4,0,2023,6
2023-06-23,108,24.4,20.0,29.9,0,2023,6
2023-06-24,108,26.4,21.9,31.1,1,2023,6
2023-06-25,108,28.2,22.8,33.1,1,2023,6
2023-06-26,108,24.2,22.3,27.5,0,2023,6
2023-06-27,108,25.3,21.4,29.1,0,2023,6
2023-06-28,108,26.5,24.2,30.1,1,2023,6
2023-06-29,108,24.2,23.2,25.9,0,2023,6
2023-06-30,108,25.3,23.2,29.1,0,2023,6
2023-07-01,108,27.7,23.3,32.9,1,2023,7
2023-07-02,108,26.7,23.5,30.6,1,2023,7
2023-07-03,108,29.1,24.1,34.9,1,2023,7
2023-07-04,108,26.1,24.5,29.2,0,2023,7
2023-07-05,108,24.5,22.1,27.1,0,2023,7
2023-07-06,108,27.3,22.4,31.8,1,2023,7
2023-07-07,108,26.7,23.3,31.4,1,2023,7
2023-07-08,108,25.6,22.4,29.7,0,2023,7
2023-07-09,108,24.7,21.6,27.0,0,2023,7
2023-07-10,108,26.3,22.9,30.9,1,2023,7
2023-07-11,108,23.5,21.6,25.9,0,2023,7
2023-07-12,108,25.8,22.0,29.1,0,2023,7
2023-07-13,108,25.2,24.7,26.5,0,2023,7
2023-07-14,108,24.6,23.9,25.1,0,2023,7
2023-07-15,108,24.5,23.7,25.7,0,2023,7
2023-07-16,108,24.6,23.7,25.4,0,2023,7
2023-07-17,108,25.5,23.7,27.8,0,2023,7
2023-07-18,108,25.2,24.1,27.7,0,2023,7
2023-07-19,108,27.2,22.5,32.4,1,2023,7
2023-07-20,108,27.9,24.0,32.8,1,2023,7
2023-07-21,108,29.5,24.6,34.3,1,2023,7
2023-07-22,108,27.7,24.6,32.5,1,2023,7
2023-07-23,108,25.2,24.5,25.8,0,2023,7
2023-07-24,108,26.9,24.6,30.0,1,2023,7
2023-07-25,108,27.8,25.8,30.5,1,2023,7
2023-07-26,108,27.6,24.9,31.1,1,2023,7
2023-07-27,108,28.4,24.4,32.2,1,2023,7
2023-07-28,108,29.5,25.4,34.1,1,2023,7
2023-07-29,108,29.1,26.1,33.3,1,2023,7
2023-07-30,108,28.8,24.9,34.9,1,2023,7
2023-07-31,108,28.7,25.6,33.4,1,2023,7
2023-08-01,108,29.9,25.5,34.2,1,2023,8
2023-08-02,108,29.7,26.8,33.7,1,2023,8
2023-08-03,108,29.5,25.8,33.8,1,2023,8
2023-08-04,108,30.0,26.5,34.4,1,2023,8
2023-08-05,108,30.3,26.4,34.9,1,2023,8
2023-08-06,108,29.8,27.0,33.0,1,2023,8
