
열대야일수
지점/지역명 : 서울

평균 열대야일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위

2023,0.0,0.0,0.0,0.0,0.0,1.0,9.0,14.0,1.0,0.0,0.0,0.0,25.0,3
2024,0.0,0.0,0.0,0.0,0.0,1.0,13.0,25.0,9.0,0.0,0.0,0.0,48.0,1
2025,0.0,0.0,0.0,0.0,0.0,2.0,23.0,21.0,1.0,0.0,0.0,0.0,47.0,2
평균,0.0,0.0,0.0,0.0,0.0,1.3,15.0,20.0,3.7,0.0,0.0,0.0


가장 긴 열대야
연도,지점,시작일,종료일,지속일수
2023,서울,2023-07-30,2023-08-08,10
2024,서울,2024-07-21,2024-08-23,34
2025,서울,2025-07-19,2025-08-02,15


가장 빠른/가장 늦은 열대야
연도,가장 빠른 지점,가장 빠른 날짜,가장 늦은 지점,가장 늦은 날짜
2023,서울,2023-06-28,서울,2023-09-04
2024,서울,2024-06-21,서울,2024-09-19
2025,서울,2025-06-29,서울,2025-09-05


서울 열대야일수


년도,날짜,지점,관측값
2023,0628,서울,25.1
2023,0703,서울,25.6
2023,0708,서울,25.1
2023,0712,서울,25.2
2023,0721,서울,26.2
2023,0724,서울,25.8
2023,0727,서울,25.4
2023,0728,서울,26.1
2023,0730,서울,25.2
2023,0731,서울,25.5
2023,0801,서울,26.8
2023,0802,서울,25.8
2023,0803,서울,26.5
2023,0804,서울,26.4
2023,0805,서울,27.5
2023,0806,서울,27.3
2023,0807,서울,26.4
2023,0808,서울,26.2
2023,0817,서울,25.5
2023,0818,서울,26.4
2023,0819,서울,25.5
2023,0820,서울,26
2023,0821,서울,27.3
2023,0822,서울,25.7
2023,0904,서울,25
2024,0621,서울,25.1
2024,0715,서울,25.7
2024,0719,서울,25.1
2024,0721,서울,26.1
2024,0722,서울,25.7
2024,0723,서울,26
2024,0724,서울,26.8
2024,0725,서울,25.2
2024,0726,서울,27.5
2024,0727,서울,27.3
2024,0728,서울,27.2
2024,0729,서울,26.3
2024,0730,서울,27
2024,0731,서울,27.3
2024,0801,서울,28.2
2024,0802,서울,27.2
2024,0803,서울,27.3
2024,0804,서울,27.5
2024,0805,서울,25.6
2024,0806,서울,27.2
2024,0807,서울,27.1
2024,0808,서울,25.6
2024,0809,서울,26.4
2024,0810,서울,27.8
2024,0811,서울,28.2
2024,0812,서울,28.1
2024,0813,서울,28.3
2024,0814,서울,26.7
2024,0815,서울,26.8
2024,0816,서울,27.2
2024,0817,서울,27
2024,0818,서울,26.3
2024,0819,서울,27
2024,0820,서울,26.9
2024,0821,서울,28
2024,0822,서울,26.4
2024,0823,서울,25.1
2024,0825,서울,25.6
2024,0826,서울,25
2024,0904,서울,26
2024,0909,서울,25.6
2024,0910,서울,25.4
2024,0911,서울,25.2
2024,0913,서울,25.2
2024,0916,서울,25.8
2024,0917,서울,26.5
2024,0918,서울,25.6
2024,0919,서울,25.5
2025,0629,서울,25.6
2025,0630,서울,26.2
2025,0701,서울,26.8
2025,0702,서울,26.8
2025,0703,서울,25.7
2025,0704,서울,26
2025,0705,서울,26.3
2025,0706,서울,26.7
2025,0707,서울,26.9
2025,0708,서울,27
2025,0709,서울,27.3
2025,0712,서울,25.7
2025,0719,서울,25
2025,0720,서울,25.6
2025,0721,서울,26.6
2025,0722,서울,25.5
2025,0723,서울,25.8
2025,0724,서울,25.6
2025,0725,서울,27.6
2025,0726,서울,28.3
2025,0727,서울,28.8
2025,0728,서울,27.6
2025,0729,서울,28.3
2025,0730,서울,29.3
2025,0731,서울,27.8
2025,0801,서울,27.3
2025,0802,서울,27.5
2025,0804,서울,25.4
2025,0805,서울,26.9
2025,0806,서울,25.4
2025,0810,서울,25
2025,0815,서울,25.5
2025,0816,서울,26.1
2025,0817,서울,27
2025,0818,서울,26.9
2025,0819,서울,26.9
2025,0820,서울,27.4
2025,0821,서울,26.1
2025,0822,서울,27.4
2025,0823,서울,26.9
2025,0824,서울,26.7
2025,0825,서울,25.5
2025,0828,서울,27.3
2025,0829,서울,25.8
2025,0830,서울,25.1
2025,0831,서울,25
2025,0905,서울,26


