진료개시년도,지역,환자수
2020,종로구,83
2020,중구,16
2020,용산구,55
2020,성동구,37
2020,광진구,28
2020,동대문구,23
2020,중랑구,28
2020,성북구,36
2020,강북구,21
2020,도봉구,15
2020,노원구,29
2020,은평구,421
2020,서대문구,255
2020,마포구,45
2020,양천구,22
2020,강서구,43
2020,구로구,54
2020,금천구,19
2020,영등포구,41
2020,동작구,76
2020,관악구,85
2020,서초구,444
2020,강남구,100
2020,송파구,41
2020,강동구,161
2020,중구,*
2020,서구,23
2020,동구,28
2020,영도구,281
2020,부산진구,94
2020,동래구,31
2020,남구,47
2020,북구,25
2020,해운대구,77
2020,사하구,53
2020,금정구,26
2020,강서구,35
2020,연제구,21
2020,수영구,14
2020,사상구,62
2020,기장군,20
2020,중구,7
2020,동구,47
2020,서구,25
2020,남구,29
2020,북구,28
2020,수성구,40
2020,달서구,61
2020,달성군,35
2020,중구,7
2020,동구,*
2020,미추홀구,26
2020,연수구,26
2020,남동구,51
2020,부평구,58
2020,계양구,15
2020,서구,46
2020,강화군,7
2020,옹진군,*
2020,동구,12
2020,서구,30
2020,남구,19
2020,북구,91
2020,광산구,61
2020,동구,22
2020,중구,46
2020,서구,63
2020,유성구,33
2020,대덕구,22
2020,중구,42
2020,남구,32
2020,동구,33
2020,북구,11
2020,울주군,53
2020,세종시,32
2020,수원시 장안구,17
2020,수원시 권선구,25
2020,수원시 팔달구,12
2020,수원시 영통구,11
2020,성남시 수정구,23
2020,성남시 중원구,30
2020,성남시 분당구,171
2020,의정부시,31
2020,안양시 만안구,15
2020,안양시 동안구,16
2020,부천시,150
2020,광명시,21
2020,평택시,208
2020,동두천시,14
2020,안산시 상록구,102
2020,안산시 단원구,64
2020,고양시 덕양구,79
2020,고양시 일산동구,20
2020,고양시 일산서구,15
2020,과천시,8
2020,구리시,28
2020,남양주시,64
2020,오산시,26
2020,시흥시,50
2020,군포시,13
2020,의왕시,14
2020,하남시,30
2020,용인시 처인구,24
2020,용인시 기흥구,24
2020,용인시 수지구,73
2020,파주시,56
2020,이천시,79
2020,안성시,10
2020,김포시,38
2020,화성시,65
2020,광주시,40
2020,양주시,9
2020,포천시,26
2020,여주시,20
2020,연천군,5
2020,가평군,8
2020,양평군,8
2020,춘천시,21
2020,원주시,37
2020,강릉시,11
2020,동해시,10
2020,태백시,*
2020,속초시,7
2020,삼척시,18
2020,홍천군,14
2020,횡성군,38
2020,영월군,7
2020,평창군,7
2020,정선군,139
2020,철원군,9
2020,화천군,9
2020,양구군,8
2020,인제군,*
2020,고성군,*
2020,청주시 상당구,268
2020,청주시 서원구,40
2020,청주시 흥덕구,23
2020,청주시 청원구,23
2020,충주시,59
2020,제천시,19
2020,보은군,11
2020,옥천군,35
2020,영동군,40
2020,증평군,5
2020,진천군,79
2020,괴산군,9
2020,음성군,32
2020,단양군,*
2020,천안시 동남구,62
2020,천안시 서북구,67
2020,공주시,25
2020,보령시,18
2020,아산시,50
2020,서산시,19
2020,논산시,14
2020,계룡시,*
2020,당진시,147
2020,금산군,9
2020,부여군,22
2020,서천군,45
2020,청양군,*
2020,홍성군,19
2020,예산군,11
2020,태안군,151
2020,전주시 완산구,58
2020,전주시 덕진구,59
2020,군산시,260
2020,익산시,39
2020,정읍시,29
2020,남원시,18
2020,김제시,93
2020,완주군,16
2020,진안군,14
2020,무주군,14
2020,장수군,12
2020,임실군,20
2020,순창군,9
2020,고창군,21
2020,부안군,13
2020,목포시,59
2020,여수시,56
2020,순천시,73
2020,나주시,23
2020,광양시,122
2020,담양군,57
2020,곡성군,5
2020,구례군,15
2020,고흥군,39
2020,보성군,48
2020,화순군,18
2020,장흥군,22
2020,강진군,*
2020,해남군,23
2020,영암군,12
2020,무안군,16
2020,함평군,15
2020,영광군,8
2020,장성군,17
2020,완도군,51
2020,진도군,7
2020,신안군,36
2020,포항시 남구,48
2020,포항시 북구,44
2020,경주시,47
