
[검색조건]
지점명 : 서울, 기간 : 20220501 ~ 20260528
일자,기온(°C),습도(%rh),체감온도(°C)
2022-05-01,19.2,28.9,17.9
2022-05-02,19.4,29.5,18.1
2022-05-03,20.5,30,19.2
2022-05-04,25.2,35,24
2022-05-05,25.7,36.5,24.6
2022-05-06,25.5,45.9,25.3
2022-05-07,23.1,28,21.3
2022-05-08,18.2,36.4,17.6
2022-05-09,25.2,33.3,23.8
2022-05-10,26.3,19.9,23.2
2022-05-11,25.1,38.8,24.3
2022-05-12,27.9,35.5,26.6
2022-05-13,25,37.2,24
2022-05-14,20,37.2,19.3
2022-05-15,22.3,30,20.8
2022-05-16,23.7,37.5,22.8
2022-05-17,27.4,39.4,26.5
2022-05-18,25.4,41.6,24.8
2022-05-19,24.2,45.2,24
2022-05-20,25.6,42.5,25.1
2022-05-21,26,50.8,26.2
2022-05-22,25.8,53,26.2
2022-05-23,30.4,44.3,29.9
2022-05-24,30,34.9,28.5
2022-05-25,26.6,45.4,26.3
2022-05-26,22.2,49.2,22.4
2022-05-27,25.4,48.8,25.5
2022-05-28,29.3,38.9,28.3
2022-05-29,29.3,44.2,28.8
2022-05-30,24.5,62.2,25.7
2022-05-31,26.6,32.4,25
2022-06-01,28.6,25.7,26.1
2022-06-02,26.8,50.7,26.5
2022-06-03,32.1,41.5,30.7
2022-06-04,29.7,45.6,28.8
2022-06-05,27,44.3,26.1
2022-06-06,24.5,49.7,24.1
2022-06-07,25.1,41.4,24
2022-06-08,25.8,49.3,25.4
2022-06-09,24.5,59.1,24.9
2022-06-10,26.6,53.2,26.5
2022-06-11,32.7,36.1,30.7
2022-06-12,31.4,38,29.7
2022-06-13,29.1,53.7,29
2022-06-14,27.1,43.2,26.1
2022-06-15,20.1,87.5,22.5
2022-06-16,24.7,56.1,24.9
2022-06-17,28,59.1,28.4
2022-06-18,25.1,75.6,26.7
2022-06-19,25,76.3,26.7
2022-06-20,29,61.1,29.6
2022-06-21,32.6,53.6,32.4
2022-06-22,30.4,58.1,30.7
2022-06-23,26.1,86.4,28.6
2022-06-24,23.5,100,26.8
2022-06-25,30.4,71.8,31.9
2022-06-26,28,80.3,30.1
2022-06-27,28,81,30.1
2022-06-28,27.9,76.2,29.7
2022-06-29,26.1,93.6,29.1
2022-06-30,24.5,100,27.8
2022-07-01,30.7,67.2,31.8
2022-07-02,33.7,54.7,33.7
2022-07-03,34.1,51.4,33.7
2022-07-04,32.6,60.5,33.1
2022-07-05,32.3,70.3,33.7
2022-07-06,33.3,63.4,34.1
2022-07-07,31,74.3,32.7
2022-07-08,27,88.2,29.6
2022-07-09,30.8,68.8,32
2022-07-10,35,50.8,34.6
2022-07-11,30.2,67.4,31.3
2022-07-12,29.4,69.6,30.7
2022-07-13,27.1,78,29
2022-07-14,29.9,66.5,30.9
2022-07-15,29.8,67.4,30.9
2022-07-16,28.1,71.3,29.5
2022-07-17,29.5,67.1,30.6
2022-07-18,29.9,68.7,31.1
2022-07-19,31.1,60.3,31.6
2022-07-20,30.2,62.6,30.9
2022-07-21,25.1,81,27.2
2022-07-22,27.4,79.5,29.4
2022-07-23,27.9,71.5,29.3
2022-07-24,28.3,77.6,30.1
2022-07-25,31.8,59.8,32.2
2022-07-26,32.7,60.2,33.2
2022-07-27,33.4,55.5,33.4
2022-07-28,34.1,55.1,34.1
2022-07-29,34,59.8,34.5
2022-07-30,35.8,53.9,35.7
2022-07-31,28.3,85.4,30.8
2022-08-01,32.2,73.1,33.8
2022-08-02,28.4,81.4,30.6
2022-08-03,29.9,80.6,32
2022-08-04,32.8,66.8,33.9
2022-08-05,32.7,65.3,33.6
2022-08-06,29.9,87.1,32.5
2022-08-07,31.6,75.6,33.4
2022-08-08,28.4,85.2,30.9
2022-08-09,26.5,95.3,29.6
2022-08-10,28.8,69.9,30.1
2022-08-11,27.5,79.3,29.5
2022-08-12,32.1,52.5,31.9
2022-08-13,27.5,83.7,29.8
2022-08-14,31.4,72.5,32.9
2022-08-15,29.8,76,31.6
2022-08-16,30,63.8,30.8
2022-08-17,30.5,66.4,31.5
2022-08-18,29.6,62.1,30.2
2022-08-19,27.1,96.2,30.3
2022-08-20,31.7,68.2,32.9
2022-08-21,31.9,64.6,32.8
2022-08-22,30.2,67,31.2
2022-08-23,30,61.7,30.6
2022-08-24,27.9,62.2,28.6
2022-08-25,23.8,84.4,26.1
2022-08-26,28.4,59,28.8
2022-08-27,23.1,86.3,25.4
2022-08-28,28.1,43.9,27.1
2022-08-29,22.2,78.3,24
2022-08-30,19.7,98.3,22.8
2022-08-31,24.8,74.8,26.4
2022-09-01,30.4,51.2,30.1
2022-09-02,29.8,50.3,29.4
2022-09-03,29.2,56.8,29.4
2022-09-04,24,98.9,27.3
2022-09-05,22.7,96.4,25.8
2022-09-06,25.4,60.9,25.9
2022-09-07,28.1,41.6,26.9
2022-09-08,29.3,46.4,28.5
2022-09-09,30.7,41.5,29.4
2022-09-10,28.4,43.6,27.4
2022-09-11,26.4,57.7,26.7
2022-09-12,27.5,64,28.3
2022-09-13,26.3,69.3,27.5
2022-09-14,27.8,55.2,27.9
2022-09-15,28.3,60.5,28.8
2022-09-16,29.9,66.3,30.9
2022-09-17,29.4,69.6,30.7
2022-09-18,32.5,57.8,32.8
2022-09-19,29.2,57.6,29.4
2022-09-20,24.5,41.1,23.4
2022-09-21,25.3,43.3,24.4
2022-09-22,24.6,49.3,24.2
2022-09-23,22.2,64.3,23
2022-09-24,24,43.8,23.2
2022-09-25,25.1,42.8,24.1
2022-09-26,25.4,38.7,24
2022-09-27,27.7,39.2,26.2
2022-09-28,26.1,50.1,25.8
2022-09-29,26,47.7,25.4
2022-09-30,27.1,45.1,26.3
2023-05-01,20.8,32.8,19.2
2023-05-02,23.7,25.8,21.1
2023-05-03,25.3,42.4,24.3
2023-05-04,25.6,53.6,25.6
2023-05-05,20.3,100,23.5
2023-05-06,15.5,97.8,18.4
2023-05-07,18.6,40.3,17.7
2023-05-08,21.7,41.2,20.8
2023-05-09,24.4,35,22.7
2023-05-10,25.7,31.4,23.6
2023-05-11,26.7,34.9,24.8
2023-05-12,24.4,30.6,22.3
2023-05-13,23.8,43.6,23
2023-05-14,23.5,42.6,22.6
2023-05-15,27.8,38.4,26.3
2023-05-16,31,39,29.4
2023-05-17,28.7,39.4,27.2
2023-05-18,27.2,54.3,27.2
2023-05-19,27.8,46.4,27.1
2023-05-20,26.7,55,26.8
2023-05-21,21.1,59.9,21.6
2023-05-22,26.7,33.1,24.7
2023-05-23,26.6,32.8,24.6
2023-05-24,25.9,37.7,24.4
2023-05-25,27.4,28.8,24.9
2023-05-26,27.3,40.2,26
2023-05-27,20.6,83.6,22.7
2023-05-28,20.2,100,23.4
2023-05-29,28.5,62.6,29.2
2023-05-30,28.9,51.2,28.6
2023-05-31,28.1,49.3,27.6
2023-06-01,26.3,58.9,26.7
2023-06-02,24.9,62.5,25.6
2023-06-03,27.7,40.8,26.4
2023-06-04,26.7,50.8,26.4
2023-06-05,26.3,48.4,25.8
2023-06-06,24.8,57.9,25.1
2023-06-07,25.7,65,26.6
2023-06-08,23.8,68.3,24.9
2023-06-09,27,59.6,27.4
2023-06-10,28.3,52.2,28.1
2023-06-11,27.2,56.9,27.4
2023-06-12,27.4,51,27.1
2023-06-13,25.9,59.1,26.3
2023-06-14,25,57.5,25.2
2023-06-15,28.2,54.6,28.2
2023-06-16,28.9,49.2,28.4
2023-06-17,30.2,46.1,29.4
2023-06-18,32.6,45,31.6
2023-06-19,33.9,45.3,32.9
2023-06-20,26.4,64.3,27.2
2023-06-21,22,91.3,24.7
2023-06-22,26.4,65,27.2
2023-06-23,29.8,55.3,29.8
2023-06-24,31.1,59.2,31.4
2023-06-25,33.1,52.5,32.8
2023-06-26,27.5,61.4,28.1
2023-06-27,29.1,55.7,29.2
2023-06-28,30,64.4,30.8
2023-06-29,25.9,86.2,28.4
2023-06-30,29,77.3,30.9
2023-07-01,32.9,62.2,33.6
2023-07-02,30.4,69.4,31.7
2023-07-03,34.6,52.2,34.3
2023-07-04,29.2,70.7,30.6
2023-07-05,27,71.7,28.4
2023-07-06,31.8,59.4,32.2
2023-07-07,31.3,55.4,31.3
2023-07-08,29.5,69.5,30.8
2023-07-09,26.9,82.9,29.1
2023-07-10,30.8,63.5,31.6
2023-07-11,25.8,91.1,28.6
2023-07-12,28.9,76.2,30.7
2023-07-13,26.5,94.7,29.6
2023-07-14,25.1,99.3,28.5
2023-07-15,25.2,99.3,28.6
2023-07-16,25.2,97.2,28.4
2023-07-17,27.7,78.2,29.6
2023-07-18,27.7,78,29.6
2023-07-19,32,64.6,32.9
2023-07-20,32.3,62.7,33
2023-07-21,34.1,53.1,33.9
2023-07-22,32.4,57.3,32.6
2023-07-23,25.6,98.5,28.9
2023-07-24,30,72.4,31.5
2023-07-25,30.5,70.6,31.9
2023-07-26,31.1,72.1,32.6
2023-07-27,32.1,66,33.1
2023-07-28,33.9,56.4,34
2023-07-29,33.3,62.6,34
2023-07-30,34.9,53.1,34.7
2023-07-31,33.2,64.7,34.1
2023-08-01,34.1,60.3,34.6
2023-08-02,33.2,61.2,33.8
2023-08-03,33.7,59.3,34.1
2023-08-04,34.3,56.9,34.5
2023-08-05,34.8,54,34.7
2023-08-06,33,68,34.2
2023-08-07,34.6,58.3,34.9
2023-08-08,35.8,50.1,35.3
2023-08-09,31.6,60.1,32.1
2023-08-10,25.1,82.1,27.2
2023-08-11,24.8,91.3,27.6
2023-08-12,24.1,90.6,26.8
2023-08-13,30.7,69.5,32
2023-08-14,31.8,64.7,32.7
2023-08-15,32.7,62.9,33.4
2023-08-16,31.6,60.9,32.1
2023-08-17,32.4,57.9,32.7
2023-08-18,33.3,60,33.8
2023-08-19,33.6,56.5,33.7
2023-08-20,31.8,61.8,32.4
2023-08-21,33.5,60.1,34
2023-08-22,32.1,62.8,32.8
2023-08-23,27.1,84.4,29.5
2023-08-24,27.8,76.2,29.6
2023-08-25,29.9,64.8,30.8
2023-08-26,30.3,60.3,30.8
2023-08-27,29.5,67.4,30.6
2023-08-28,25.6,78,27.4
2023-08-29,25.2,95.3,28.3
2023-08-30,24.2,85.9,26.6
2023-08-31,27.8,65.6,28.7
2023-09-01,29.5,50.3,29.1
2023-09-02,30.7,47.2,30
2023-09-03,28.7,72.6,30.2
2023-09-04,30.2,68.6,31.4
2023-09-05,32.7,58.9,33
2023-09-06,31.8,52.3,31.5
2023-09-07,31.6,39.8,30
2023-09-08,30.4,47.3,29.7
2023-09-09,31,50.7,30.6
2023-09-10,29.6,58,29.9
2023-09-11,29.8,54.3,29.8
2023-09-12,29.8,57.8,30.1
2023-09-13,24.3,83.2,26.5
2023-09-14,27.1,64.3,27.9
2023-09-15,24.2,79.7,26.1
2023-09-16,26.5,79.6,28.5
2023-09-17,27.9,75.8,29.6
2023-09-18,28.8,68.1,29.9
2023-09-19,27.1,68.5,28.2
2023-09-20,23.9,86.9,26.3
2023-09-21,23.4,61,23.9
2023-09-22,26.7,43.3,25.7
2023-09-23,27.6,42,26.5
2023-09-24,25.9,43.9,25
2023-09-25,25.9,52.9,25.8
2023-09-26,20.8,95,23.7
2023-09-27,23.7,83.6,25.9
2023-09-28,27.2,61.2,27.8
2023-09-29,26.8,39.1,25.4
2023-09-30,21.9,82.3,24
2024-05-01,23.9,30,21.8
2024-05-02,22.7,43,21.9
2024-05-03,27.9,28.5,25.3
2024-05-04,28.3,29.4,25.8
2024-05-05,18.9,93.9,21.7
2024-05-06,15.7,94.7,18.4
2024-05-07,14.8,72.2,16.2
2024-05-08,21.4,40.2,20.4
2024-05-09,21.2,45.4,20.6
2024-05-10,23.7,40.4,22.6
2024-05-11,21.9,61.3,22.5
2024-05-12,21.4,49.7,21.2
2024-05-13,24.2,38.7,22.9
2024-05-14,24.7,31.5,22.6
2024-05-15,18.8,59,19.3
2024-05-16,19.7,40.1,18.8
2024-05-17,24.9,45.5,24.2
2024-05-18,26.5,49.6,26.1
2024-05-19,27.9,43.8,26.9
2024-05-20,22.7,67.6,23.8
2024-05-21,27.9,48.9,27.4
2024-05-22,25.3,54.3,25.3
2024-05-23,26.4,51.6,26.2
2024-05-24,24.7,62.5,25.4
2024-05-25,24.7,50.6,24.4
2024-05-26,23.7,50.2,23.4
2024-05-27,22.2,52.1,22.1
2024-05-28,25.9,37.9,24.4
2024-05-29,26.1,41.9,25
2024-05-30,24.6,42.1,23.6
2024-05-31,25.2,43.2,24.3
2024-06-01,25,42.7,24
2024-06-02,25.7,43.3,24.7
2024-06-03,28.6,34.5,26.6
2024-06-04,29.3,31.9,27
2024-06-05,30,43.4,28.9
2024-06-06,31.4,34.6,29.3
2024-06-07,28,42.5,26.9
2024-06-08,24.2,69.3,25.4
2024-06-09,28.8,51.1,28.5
2024-06-10,31.1,47.5,30.4
2024-06-11,31,52.8,30.8
2024-06-12,31.7,43.1,30.5
2024-06-13,32.7,37.7,30.9
2024-06-14,33,40.1,31.4
2024-06-15,28.1,59.7,28.5
2024-06-16,29.4,44.8,28.5
2024-06-17,29.5,38,27.9
2024-06-18,32.7,43.3,31.5
2024-06-19,35.7,36.7,33.6
2024-06-20,35.2,33.1,32.7
2024-06-21,33.3,39.8,31.7
2024-06-22,26.1,68.7,27.3
2024-06-23,30.1,61.6,30.7
2024-06-24,27.8,63.6,28.6
2024-06-25,27.1,48.5,26.6
2024-06-26,31.3,43.4,30.2
2024-06-27,31.4,40.9,30
2024-06-28,32.5,39.5,30.9
2024-06-29,32.3,45.7,31.4
2024-06-30,24.5,95.6,27.6
2024-07-01,31.2,51.5,30.9
2024-07-02,24.1,94.7,27.1
2024-07-03,24.5,96.3,27.6
2024-07-04,30.6,60.4,31.1
2024-07-05,25.8,86.2,28.3
2024-07-06,29.9,74.4,31.6
2024-07-07,28.2,69.8,29.5
2024-07-08,24.3,95.8,27.4
2024-07-09,26.6,80.9,28.7
2024-07-10,31.1,60.4,31.6
2024-07-11,28.7,71.5,30.1
2024-07-12,30.2,63.6,31
2024-07-13,32.5,59.9,32.9
2024-07-14,32.1,57,32.3
2024-07-15,31,62.6,31.7
2024-07-16,30.6,65.8,31.6
2024-07-17,27.8,83.9,30.1
2024-07-18,25.6,92.5,28.5
2024-07-19,30.7,65.3,31.6
2024-07-20,30.3,73.5,31.9
2024-07-21,29.8,74.9,31.5
2024-07-22,27.9,85.4,30.3
2024-07-23,27.1,87.3,29.7
2024-07-24,30.8,75.6,32.6
2024-07-25,32.2,67.1,33.3
2024-07-26,32.4,73.9,34.1
2024-07-27,31.6,70.5,33
2024-07-28,32.2,64,33
2024-07-29,27.6,84.4,30
2024-07-30,31.9,69.5,33.2
2024-07-31,33.2,61.3,33.8
2024-08-01,33.1,67.3,34.2
2024-08-02,32.5,70.2,33.9
2024-08-03,34.2,60.4,34.7
2024-08-04,36.2,53.9,36.1
2024-08-05,33.5,68,34.7
2024-08-06,33.5,60.1,34
2024-08-07,33.1,61.2,33.7
2024-08-08,31.6,65.7,32.6
2024-08-09,33.6,58,33.9
2024-08-10,33.5,59.4,33.9
2024-08-11,34.3,56.1,34.4
2024-08-12,34.1,60.2,34.6
2024-08-13,36.4,52.2,36.1
2024-08-14,34.4,63,35.1
2024-08-15,34.3,59.4,34.7
2024-08-16,34.2,57.9,34.5
2024-08-17,33.5,61.5,34.1
2024-08-18,33.9,60,34.4
2024-08-19,35.2,51.1,34.8
2024-08-20,35.2,57.2,35.4
2024-08-21,30.8,72.2,32.3
2024-08-22,30,78.4,32
2024-08-23,31.8,63.4,32.6
2024-08-24,30.6,73.2,32.2
2024-08-25,32.7,60.8,33.2
2024-08-26,30.4,71.1,31.8
2024-08-27,30.3,56.3,30.4
2024-08-28,33.2,50.6,32.8
2024-08-29,33.4,52.9,33.2
2024-08-30,32.8,51.2,32.4
2024-08-31,31.8,56.6,31.9
2024-09-01,31.4,47.6,30.7
2024-09-02,26.9,69.1,28.1
2024-09-03,31.9,46.7,31.1
2024-09-04,33.3,45.3,32.3
2024-09-05,28.7,66.2,29.7
2024-09-06,25.7,83.6,27.9
2024-09-07,31.1,54.8,31.1
2024-09-08,32.8,48.7,32.2
2024-09-09,34,52.8,33.8
2024-09-10,33.8,55.9,33.9
2024-09-11,34.5,55.8,34.6
2024-09-12,27.1,85.7,29.6
2024-09-13,28,81.7,30.2
2024-09-14,32.1,61,32.7
2024-09-15,32.3,64.1,33.1
2024-09-16,32.2,59.9,32.7
2024-09-17,33.2,63.9,34
2024-09-18,33.5,63.8,34.3
2024-09-19,32.6,66.1,33.6
2024-09-20,28.6,81.2,30.8
2024-09-21,21.9,73.5,23.4
2024-09-22,26.4,56.2,26.6
2024-09-23,26,45.7,25.3
2024-09-24,26.6,42.9,25.6
2024-09-25,27.3,57.5,27.6
2024-09-26,28,57.9,28.3
2024-09-27,27.7,57.1,27.9
2024-09-28,27.9,51.7,27.6
2024-09-29,28.9,49,28.4
2024-09-30,28.4,46.8,27.7
2025-05-01,14.5,92.7,17.1
2025-05-02,18.3,48,18
2025-05-03,14,72.6,15.4
2025-05-04,19.9,28.9,18
2025-05-05,14.9,58.1,15.4
2025-05-06,19.3,39.3,18.4
2025-05-07,21,46,20.5
2025-05-08,24.2,36.6,22.7
2025-05-09,14.8,97.2,17.7
2025-05-10,15.2,97.2,18.1
2025-05-11,20.1,61.5,20.7
2025-05-12,23.5,46.3,22.9
2025-05-13,25.8,30.8,23.6
2025-05-14,26.7,35.7,25
